ID;P03;P04;P05;P06;P071;P072;P073;P08;P091;P092;P093;P094;P095;P096;P097;P098;P10;P11;P12;P13;P14;P15;P16;P17;P181;P182;P183;P184;P185;P186;P19;P2001;P2002;P2003;P2004;P2005;P2006;P2007;P2008;P2009;P2010;P211;P212;P213;P214;P215;P216;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P33;P35;VD_IDADE;VD_RENDA;VD_RELIGIÃO;VD_RACA;W1;W2
49;2;3;1;1;2;1;1;2;2;2;2;1;2;1;2;2;3;1;3;1;1;1;3;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;5;1;1;3;0.955342875095238;72088.7261904762
50;2;3;2;1;2;2;1;2;2;1;2;2;1;1;1;2;2;1;2;1;1;1;3;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;6;2;1;1;1;0.955342875095238;72088.7261904762
51;2;2;1;1;2;1;2;2;2;1;2;1;2;2;2;2;2;1;1;2;1;2;;1;1;2;1;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;5;1;2;1;3;0.955342875095238;72088.7261904762
52;2;2;1;1;1;2;2;2;2;1;2;1;1;2;2;2;2;1;1;1;1;1;7;1;1;2;2;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;3;5;2;3;97;3;0.955342875095238;72088.7261904762
53;2;3;1;2;1;1;2;2;2;1;2;2;2;2;1;2;2;1;1;1;2;1;3;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;3;5;1;3;1;1;0.955342875095238;72088.7261904762
54;2;3;1;1;2;2;1;3;2;2;2;1;2;2;2;2;3;1;3;1;1;1;7;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;7;5;2;1;2;0.955342875095238;72088.7261904762
55;2;2;1;2;2;2;1;2;1;1;1;1;1;1;1;2;2;1;1;1;1;97;;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;3;5;2;2;2;2;0.955342875095238;72088.7261904762
56;2;2;2;1;2;1;2;2;2;2;2;1;2;2;2;2;2;1;1;2;1;1;3;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;6;2;;;8;3;;;6;1;2;3;4;3;1;1;0.955342875095238;72088.7261904762
57;2;3;1;1;2;2;1;2;1;1;1;1;1;1;1;2;2;1;1;2;1;1;8;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;3;97;1;97;1;3;0.955342875095238;72088.7261904762
58;2;1;3;1;2;2;1;2;2;1;2;2;2;2;2;2;1;1;1;1;1;1;7;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;2;3;1;1;0.955342875095238;72088.7261904762
